T	den	cp	lambda	h
656	0.059330897	29.39542802	0.35504839	18.38303759
657	0.059240635	29.39676832	0.355531007	18.41243369
658	0.059150648	29.39811488	0.356013688	18.44183113
659	0.059060933	29.39946772	0.356496432	18.47122992
660	0.05897149	29.40082683	0.356979241	18.50063007
661	0.058882318	29.40219222	0.357462113	18.53003157
662	0.058793415	29.40356388	0.357945048	18.55943445
663	0.05870478	29.40494182	0.358428048	18.5888387
664	0.058616412	29.40632605	0.358911111	18.61824434
665	0.058528309	29.40771656	0.359394239	18.64765136
666	0.058440471	29.40911335	0.359877429	18.67705977
667	0.058352897	29.41051643	0.360360684	18.70646959
668	0.058265584	29.4119258	0.360844003	18.73588081
669	0.058178532	29.41334146	0.361327385	18.76529344
670	0.05809174	29.4147634	0.361810831	18.79470749
671	0.058005207	29.41619165	0.36229434	18.82412297
672	0.057918931	29.41762618	0.362777914	18.85353988
673	0.057832911	29.41906701	0.363261551	18.88295822
674	0.057747147	29.42051414	0.363745252	18.91237801
675	0.057661636	29.42196756	0.364229017	18.94179925
676	0.057576379	29.42342729	0.364712845	18.97122195
677	0.057491373	29.42489331	0.365196737	19.00064611
678	0.057406618	29.42636564	0.365680693	19.03007174
679	0.057322112	29.42784427	0.366164713	19.05949884
680	0.057237855	29.4293292	0.366648797	19.08892743
681	0.057153845	29.43082043	0.367132944	19.11835751
682	0.057070082	29.43231798	0.367617155	19.14778907
683	0.056986563	29.43382182	0.36810143	19.17722214
684	0.056903289	29.43533198	0.368585768	19.20665672
685	0.056820258	29.43684844	0.36907017	19.23609281
686	0.056737468	29.43837122	0.369554636	19.26553042
687	0.05665492	29.4399003	0.370039166	19.29496955
688	0.056572611	29.44143569	0.370523759	19.32441022
689	0.056490542	29.4429774	0.371008416	19.35385243
690	0.05640871	29.44452541	0.371493137	19.38329618
691	0.056327115	29.44607974	0.371977922	19.41274148
692	0.056245755	29.44764039	0.37246277	19.44218834
693	0.056164631	29.44920735	0.372947682	19.47163676
694	0.05608374	29.45078062	0.373432658	19.50108676
695	0.056003081	29.45236021	0.373917698	19.53053833
696	0.055922655	29.45394611	0.374402801	19.55999148
697	0.055842459	29.45553833	0.374887968	19.58944622
698	0.055762492	29.45713687	0.375373199	19.61890256
699	0.055682755	29.45874173	0.375858494	19.6483605
700	0.055603245	29.4603529	0.376343852	19.67782004

